公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2020/3/1,星期日,2020,二月,初八,庚子,鼠,4,戊寅,癸卯,,,,,,八九第八天
2020/3/2,星期一,2020,二月,初九,庚子,鼠,4,戊寅,甲辰,,,,,,八九第九天
2020/3/3,星期二,2020,二月,初十 ,庚子,鼠,4,戊寅,乙巳,,,,,,九九第一天
2020/3/4,星期三,2020,二月,十一,庚子,鼠,4,戊寅,丙午,,,,,,九九第二天
2020/3/5,星期四,2020,二月,十二,庚子,鼠,4,己卯,丁未,惊蛰,10:56:44,,,,九九第三天
2020/3/6,星期五,2020,二月,十三,庚子,鼠,4,己卯,戊申,,,,,,九九第四天
2020/3/7,星期六,2020,二月,十四,庚子,鼠,4,己卯,己酉,,,,,,九九第五天
2020/3/8,星期日,2020,二月,十五,庚子,鼠,4,己卯,庚戌,,,妇女节,,,九九第六天
2020/3/9,星期一,2020,二月,十六,庚子,鼠,4,己卯,辛亥,,,,,,九九第七天
2020/3/10,星期二,2020,二月,十七,庚子,鼠,4,己卯,壬子,,,,,,九九第八天
2020/3/11,星期三,2020,二月,十八,庚子,鼠,4,己卯,癸丑,,,,,,九九第九天
2020/3/12,星期四,2020,二月,十九,庚子,鼠,4,己卯,甲寅,,,植树节,,,
2020/3/13,星期五,2020,二月,二十,庚子,鼠,4,己卯,乙卯,,,,,,
2020/3/14,星期六,2020,二月,廿一,庚子,鼠,4,己卯,丙辰,,,,,,
2020/3/15,星期日,2020,二月,廿二,庚子,鼠,4,己卯,丁巳,,,,,,
2020/3/16,星期一,2020,二月,廿三,庚子,鼠,4,己卯,戊午,,,,,,
2020/3/17,星期二,2020,二月,廿四,庚子,鼠,4,己卯,己未,,,,,,
2020/3/18,星期三,2020,二月,廿五,庚子,鼠,4,己卯,庚申,,,,,,
2020/3/19,星期四,2020,二月,廿六,庚子,鼠,4,己卯,辛酉,,,,,,
2020/3/20,星期五,2020,二月,廿七,庚子,鼠,4,己卯,壬戌,春分,11:49:29,,,,
2020/3/21,星期六,2020,二月,廿八,庚子,鼠,4,己卯,癸亥,,,,,,
2020/3/22,星期日,2020,二月,廿九,庚子,鼠,4,己卯,甲子,,,,,,
2020/3/23,星期一,2020,二月,三十,庚子,鼠,4,己卯,乙丑,,,,,,
2020/3/24,星期二,2020,三月,初一,庚子,鼠,4,己卯,丙寅,,,,,,
2020/3/25,星期三,2020,三月,初二,庚子,鼠,4,己卯,丁卯,,,,,,
2020/3/26,星期四,2020,三月,初三,庚子,鼠,4,己卯,戊辰,,,,,,
2020/3/27,星期五,2020,三月,初四,庚子,鼠,4,己卯,己巳,,,,,,
2020/3/28,星期六,2020,三月,初五,庚子,鼠,4,己卯,庚午,,,,,,
2020/3/29,星期日,2020,三月,初六,庚子,鼠,4,己卯,辛未,,,,,,
2020/3/30,星期一,2020,三月,初七,庚子,鼠,4,己卯,壬申,,,,,,
2020/3/31,星期二,2020,三月,初八,庚子,鼠,4,己卯,癸酉,,,,,,
2020/4/1,星期三,2020,三月,初九,庚子,鼠,4,己卯,甲戌,,,愚人节,,,
2020/4/2,星期四,2020,三月,初十 ,庚子,鼠,4,己卯,乙亥,,,,,,
2020/4/3,星期五,2020,三月,十一,庚子,鼠,4,己卯,丙子,,,,,,
2020/4/4,星期六,2020,三月,十二,庚子,鼠,4,庚辰,丁丑,清明,15:38:02,,,,
2020/4/5,星期日,2020,三月,十三,庚子,鼠,4,庚辰,戊寅,,,,,,
2020/4/6,星期一,2020,三月,十四,庚子,鼠,4,庚辰,己卯,,,,,,
2020/4/7,星期二,2020,三月,十五,庚子,鼠,4,庚辰,庚辰,,,,,,
2020/4/8,星期三,2020,三月,十六,庚子,鼠,4,庚辰,辛巳,,,,,,
2020/4/9,星期四,2020,三月,十七,庚子,鼠,4,庚辰,壬午,,,,,,
2020/4/10,星期五,2020,三月,十八,庚子,鼠,4,庚辰,癸未,,,,,,
2020/4/11,星期六,2020,三月,十九,庚子,鼠,4,庚辰,甲申,,,,,,
2020/4/12,星期日,2020,三月,二十,庚子,鼠,4,庚辰,乙酉,,,,,,
2020/4/13,星期一,2020,三月,廿一,庚子,鼠,4,庚辰,丙戌,,,,,,
2020/4/14,星期二,2020,三月,廿二,庚子,鼠,4,庚辰,丁亥,,,,,,
2020/4/15,星期三,2020,三月,廿三,庚子,鼠,4,庚辰,戊子,,,,,,
2020/4/16,星期四,2020,三月,廿四,庚子,鼠,4,庚辰,己丑,,,,,,
2020/4/17,星期五,2020,三月,廿五,庚子,鼠,4,庚辰,庚寅,,,,,,
2020/4/18,星期六,2020,三月,廿六,庚子,鼠,4,庚辰,辛卯,,,,,,
2020/4/19,星期日,2020,三月,廿七,庚子,鼠,4,庚辰,壬辰,谷雨,22:45:21,,,,
2020/4/20,星期一,2020,三月,廿八,庚子,鼠,4,庚辰,癸巳,,,,,,
2020/4/21,星期二,2020,三月,廿九,庚子,鼠,4,庚辰,甲午,,,,,,
2020/4/22,星期三,2020,三月,三十,庚子,鼠,4,庚辰,乙未,,,,,,
2020/4/23,星期四,2020,四月,初一,庚子,鼠,4,庚辰,丙申,,,,,,
2020/4/24,星期五,2020,四月,初二,庚子,鼠,4,庚辰,丁酉,,,,,,
2020/4/25,星期六,2020,四月,初三,庚子,鼠,4,庚辰,戊戌,,,,,,
2020/4/26,星期日,2020,四月,初四,庚子,鼠,4,庚辰,己亥,,,,,,
2020/4/27,星期一,2020,四月,初五,庚子,鼠,4,庚辰,庚子,,,,,,
2020/4/28,星期二,2020,四月,初六,庚子,鼠,4,庚辰,辛丑,,,,,,
2020/4/29,星期三,2020,四月,初七,庚子,鼠,4,庚辰,壬寅,,,,,,
2020/4/30,星期四,2020,四月,初八,庚子,鼠,4,庚辰,癸卯,,,,,,
2020/5/1,星期五,2020,四月,初九,庚子,鼠,4,庚辰,甲辰,,,劳动节,,,
2020/5/2,星期六,2020,四月,初十 ,庚子,鼠,4,庚辰,乙巳,,,,,,
2020/5/3,星期日,2020,四月,十一,庚子,鼠,4,庚辰,丙午,,,,,,
2020/5/4,星期一,2020,四月,十二,庚子,鼠,4,庚辰,丁未,,,青年节,,,
2020/5/5,星期二,2020,四月,十三,庚子,鼠,4,辛巳,戊申,立夏,8:51:16,,,,
2020/5/6,星期三,2020,四月,十四,庚子,鼠,4,辛巳,己酉,,,,,,
2020/5/7,星期四,2020,四月,十五,庚子,鼠,4,辛巳,庚戌,,,,,,
2020/5/8,星期五,2020,四月,十六,庚子,鼠,4,辛巳,辛亥,,,,,,
2020/5/9,星期六,2020,四月,十七,庚子,鼠,4,辛巳,壬子,,,,,,
2020/5/10,星期日,2020,四月,十八,庚子,鼠,4,辛巳,癸丑,,,,,母亲节,
2020/5/11,星期一,2020,四月,十九,庚子,鼠,4,辛巳,甲寅,,,,,,
2020/5/12,星期二,2020,四月,二十,庚子,鼠,4,辛巳,乙卯,,,,,,
2020/5/13,星期三,2020,四月,廿一,庚子,鼠,4,辛巳,丙辰,,,,,,
2020/5/14,星期四,2020,四月,廿二,庚子,鼠,4,辛巳,丁巳,,,,,,
2020/5/15,星期五,2020,四月,廿三,庚子,鼠,4,辛巳,戊午,,,,,,
2020/5/16,星期六,2020,四月,廿四,庚子,鼠,4,辛巳,己未,,,,,,
2020/5/17,星期日,2020,四月,廿五,庚子,鼠,4,辛巳,庚申,,,,,,
2020/5/18,星期一,2020,四月,廿六,庚子,鼠,4,辛巳,辛酉,,,,,,
2020/5/19,星期二,2020,四月,廿七,庚子,鼠,4,辛巳,壬戌,,,,,,
2020/5/20,星期三,2020,四月,廿八,庚子,鼠,4,辛巳,癸亥,小满,21:49:09,,,,
2020/5/21,星期四,2020,四月,廿九,庚子,鼠,4,辛巳,甲子,,,,,,
2020/5/22,星期五,2020,四月,三十,庚子,鼠,4,辛巳,乙丑,,,,,,
2020/5/23,星期六,2020,闰四月,初一,庚子,鼠,4,辛巳,丙寅,,,,,,
